Player,Season,Team,Minutes,Position,LEBRON,O LEBRON,D LEBRON,LEBRON WAR,LEBRON Contract Value,Box LEBRON,BOXOLEBRON,BOXDLEBRON
Javonte Green,2021-22,CHI,"1,519",SF,-0.01,-1.11,1.11,2.3,"6,773,254.00",-0.53,-1.1,0.57
Reggie Bullock,2021-22,DAL,"1,902",SF,-0.07,-0.31,0.24,2.8,"8,254,280.00",-0.99,-0.92,-0.06
Mason Plumlee,2021-22,CHO,"1,793",C,-0.08,-1.64,1.55,2.7,"7,747,275.00",0.17,-1.09,1.27
Moritz Wagner,2021-22,ORL,960,C,-0.08,0.96,-1.04,1.4,"4,141,927.00",0.2,0.4,-0.19
Mo Bamba,2021-22,ORL,"1,824",C,-0.09,-2.26,2.17,2.7,"7,867,177.00",0.41,-1.37,1.77
Sekou Doumbouya,2021-22,LAL,16,PF,-0.1,-0.1,0,0,"70,354.00",-0.25,-0.08,-0.17
Jordan Schakel,2021-22,WAS,30,SG,-0.1,-0.19,0.09,0,"129,572.00",-0.23,-0.21,-0.02
Jaime Echenique,2021-22,WAS,3,C,-0.11,-0.11,0,0,"13,085.00",-0.1,-0.1,-0.01
Grayson Allen,2021-22,MIL,"1,805",SG,-0.12,-0.51,0.39,2.6,"7,661,050.00",0.15,0.23,-0.08
Tristan Thompson,2021-22,SAC/IND/CHI,896,PF,-0.14,0.02,-0.16,1.3,"3,775,170.00",-0.98,-0.94,-0.04
Keldon Johnson,2021-22,SAS,"2,392",SF,-0.14,-0.06,-0.08,3.5,"10,082,455.00",-0.19,0.31,-0.5
Cole Anthony,2021-22,ORL,"2,059",PG,-0.14,0.05,-0.19,3,"8,671,832.00",-0.87,-0.46,-0.41
Jarred Vanderbilt,2021-22,MIN,"1,881",PF,-0.15,-0.97,0.82,2.7,"7,883,088.00",0.58,-0.97,1.55
Terance Mann,2021-22,LAC,"2,317",SF,-0.15,-0.42,0.27,3.3,"9,711,701.00",-1.17,-1.06,-0.11
Matisse Thybulle,2021-22,PHI,"1,685",SG,-0.15,-1.9,1.74,2.4,"7,052,744.00",-0.32,-2.19,1.87
Joel Ayayi,2021-22,WAS,20,SG,-0.15,-0.19,0.04,0,"84,844.00",-0.16,-0.15,-0.01
Kenrich Williams,2021-22,OKC,"1,072",SF,-0.16,-1.13,0.97,1.5,"4,474,314.00",-1.53,-1.32,-0.21
Jay Huff,2021-22,LAL,20,C,-0.17,-0.21,0.04,0,"83,998.00",-0.33,-0.16,-0.17
Jared Harper,2021-22,NOP,43,PG,-0.18,0.14,-0.32,0.1,"177,005.00",-0.07,0.05,-0.12
Danilo Gallinari,2021-22,ATL,"1,672",PF,-0.19,1.1,-1.29,2.4,"6,885,494.00",-0.12,0.6,-0.72
LaMarcus Aldridge,2021-22,BRK,"1,050",C,-0.2,0.31,-0.51,1.5,"4,303,302.00",-0.23,0.03,-0.26
Luke Kennard,2021-22,LAC,"1,919",SG,-0.2,0.08,-0.28,2.7,"7,864,503.00",-1.04,-0.19,-0.84
Naz Reid,2021-22,MIN,"1,215",C,-0.2,-1.01,0.81,1.7,"4,974,521.00",0.12,-0.33,0.45
Jordan Goodwin,2021-22,WAS,6,SG,-0.2,-0.16,-0.04,0,"24,311.00",-0.11,-0.11,-0.01
Rudy Gay,2021-22,UTA,"1,038",PF,-0.21,-0.24,0.03,1.5,"4,240,445.00",-0.08,0.16,-0.24
Malik Monk,2021-22,LAL,"2,139",SG,-0.21,1.12,-1.33,3,"8,736,908.00",-1.33,-0.14,-1.19
Derrick Walton Jr.,2021-22,DET,108,PG,-0.21,-0.76,0.55,0.2,"442,043.00",-0.45,-0.74,0.29
Craig Sword,2021-22,WAS,19,SG,-0.21,-0.28,0.07,0,"77,495.00",-0.21,-0.22,0.02
Nate Hinton,2021-22,IND,2,SG,-0.21,0.02,-0.23,0,"9,837.00",-0.31,-0.03,-0.29
Braxton Key,2021-22,PHI/DET,197,SF,-0.21,-0.79,0.58,0.3,"803,393.00",-0.54,-1.24,0.7
Thaddeus Young,2021-22,SAS/TOR,845,PF,-0.22,-1.02,0.8,1.2,"3,436,063.00",-0.19,-0.57,0.38
Trey Lyles,2021-22,DET/SAC,"1,536",PF,-0.22,0.03,-0.25,2.1,"6,239,427.00",-0.26,-0.06,-0.2
Cassius Winston,2021-22,WAS,39,PG,-0.22,-0.21,-0.01,0.1,"158,236.00",-0.26,-0.22,-0.04
Blake Griffin,2021-22,BRK,958,PF,-0.23,-0.51,0.27,1.3,"3,860,642.00",0.05,0.2,-0.15
Tim Hardaway Jr.,2021-22,DAL,"1,245",SG,-0.25,0.04,-0.28,1.7,"4,987,981.00",0.24,0.75,-0.5
Ade Murkey,2021-22,SAC,1,SG,-0.26,-0.2,-0.06,0,"5,844.00",-0.26,-0.18,-0.08
Duncan Robinson,2021-22,MIA,"2,043",SG,-0.27,0,-0.27,2.8,"8,100,133.00",0.37,0.41,-0.05
Armoni Brooks,2021-22,HOU/TOR,844,SG-PG,-0.28,0.61,-0.89,1.1,"3,325,878.00",-1.09,-0.29,-0.8
Ahmad Caver,2021-22,IND,1,PG,-0.28,0,-0.29,0,"3,283.00",-0.3,-0.01,-0.29
Bones Hyland,2021-22,DEN,"1,310",PG,-0.28,0.97,-1.25,1.8,"5,155,157.00",0.61,1.05,-0.44
Christian Wood,2021-22,HOU,"2,094",C,-0.29,-0.66,0.37,2.8,"8,228,911.00",1.05,0.76,0.3
Gabe York,2021-22,IND,21,SG,-0.29,0.04,-0.33,0,"83,650.00",-0.31,-0.04,-0.26
Jordan Bell,2021-22,CHI,2,C,-0.29,-0.08,-0.21,0,"7,917.00",-0.3,-0.12,-0.18
Cody Martin,2021-22,CHO,"1,866",SF,-0.29,-0.21,-0.08,2.5,"7,310,896.00",-1.17,-1.09,-0.09
Tre Jones,2021-22,SAS,"1,148",PG,-0.29,-0.1,-0.19,1.6,"4,513,153.00",-0.55,-0.25,-0.29
Jemerrio Jones,2021-22,LAL,15,SF,-0.3,-0.11,-0.19,0,"57,374.00",-0.32,-0.12,-0.2
Yuta Watanabe,2021-22,TOR,445,SF,-0.31,-0.81,0.51,0.6,"1,735,038.00",-0.99,-1.32,0.33
Scottie Barnes,2021-22,TOR,"2,617",PF,-0.31,-0.84,0.53,3.5,"10,172,509.00",0.29,-0.17,0.46
DeJon Jarreau,2021-22,IND,1,SG,-0.31,-0.01,-0.3,0,"3,302.00",-0.3,-0.02,-0.29
