PLAYER,Team(s),Pos,G,MP,Off,Def,Tot,WAR
Jared Butler'22-'23,Thunder,PG,77,1.6,0.9,0.2,1.1,0.2
Facundo Campazzo'22-'23,Mavericks,PG,52,-6.5,-7.7,11.9,4.2,0.2
Matthew Dellavedova'22-'23,Kings,PG,213,-2.7,-4.2,3.6,-0.6,0.2
Moussa Diabate'22-'23,Clippers,PF,195,-1.6,-1.6,0.5,-1.1,0.2
Ayo Dosunmu'22-'23,Bulls,"PG, SG","2,098",-2.3,-2.9,0.3,-2.6,0.2
Jeff Dowtin Jr.'22-'23,Raptors,PG,259,-0.5,-0.4,-0.7,-1.1,0.2
PJ Dozier'22-'23,Kings,SF,85,-4.9,-5.9,7.6,1.7,0.2
Ron Harper Jr.'22-'23,Raptors,SF,48,6.2,6.4,-0.8,5.6,0.2
Andre Iguodala'22-'23,Warriors,SF,113,-3.7,-1.8,1.8,0,0.2
Alize Johnson'22-'23,Spurs,PF,30,-5.8,-4.5,15.1,10.6,0.2
Corey Kispert'22-'23,Wizards,SF,"2,093",-0.4,-0.4,-2.1,-2.5,0.2
Saben Lee'22-'23,Suns,PG,373,-1.3,-2.6,0.7,-2,0.2
Mac McClung'22-'23,76ers,PG,41,2.8,2.9,2.1,5,0.2
Jaylen Nowell'22-'23,Timberwolves,SG,"1,314",0.2,-0.1,-2.4,-2.4,0.2
Micah Potter'22-'23,Jazz,C,52,1.7,-0.4,3.5,3,0.2
Orlando Robinson'22-'23,Heat,C,425,-1.4,-1.3,-0.4,-1.6,0.2
Jeremiah Robinson-Earl'22-'23,Thunder,"PF, C",814,-1.8,-1.1,-1.1,-2.3,0.2
Jaden Springer'22-'23,76ers,PG,106,2.9,1.6,-0.6,1,0.2
Lamar Stevens'22-'23,Cavaliers,PF,"1,129",-3.2,-3.1,0.8,-2.3,0.2
Edmond Sumner'22-'23,Nets,"PG, SG",740,-1.2,-1.3,-1,-2.3,0.2
Kemba Walker'22-'23,Mavericks,PG,144,2.9,2.1,-1.4,0.6,0.2
Ziaire Williams'22-'23,Grizzlies,"SG, SF",573,-4.9,-5,2.9,-2.1,0.2
Dominick Barlow'22-'23,Spurs,SF,408,-2.1,-2.4,0.3,-2,0.1
Oshae Brissett'22-'23,Pacers,PF,"1,083",-1.8,-1.6,-0.9,-2.6,0.1
Kendall Brown'22-'23,Pacers,SF,40,-3.5,-4.2,4.6,0.4,0.1
Vlatko Cancar'22-'23,Nuggets,SF,899,-1,-1.8,-0.8,-2.6,0.1
Justin Champagnie'22-'23,Celtics,SF,44,3.9,4.3,-4.7,-0.4,0.1
Jarrett Culver'22-'23,Hawks,SF,137,-3,-2.9,1.3,-1.6,0.1
Darius Days'22-'23,Rockets,PF,25,4.9,4.1,-0.1,4,0.1
Tyler Dorsey'22-'23,Mavericks,SF,8,19.4,13.7,9.1,22.8,0.1
Devon Dotson'22-'23,Wizards,PG,53,-4.2,-4.8,5.5,0.8,0.1
